sim_time,n,p,ratio,method,type,num,estimate
3,100,100,334,forward,null,36,-2.839394665386434
3,100,100,334,forward,null,13,1.8723509840982993
3,100,100,334,forward,null,52,2.7120817965007467
3,100,100,334,forward,wai,5,-7.998728337671522
3,100,100,334,forward,wai,6,-7.537751910521153
3,100,100,334,forward,null,57,-12.056890374950514
3,100,100,334,forward,null,26,5.6623053542304715
3,100,100,334,forward,null,6,0.7225300979538529
3,100,100,334,forward,wai,9,18.10192318667348
3,100,100,334,forward,wai,16,1.8420054335862583
3,100,100,334,forward,wai,7,-16.421390791808427
3,100,100,334,forward,null,1,-8.413138721657512
3,100,100,334,forward,wbc,4,10.773960421738003
3,100,100,334,forward,null,39,4.424138606820939
3,100,100,334,forward,null,30,-4.863002577367379
3,100,100,334,forward,null,54,9.937366504151932
3,100,100,334,forward,null,10,2.06997025136645
3,100,100,334,forward,null,37,-11.60784738730774
3,100,100,334,forward,wai,14,-4.333815221164541
3,100,100,334,forward,wbc,11,6.109584098695418
3,100,100,334,forward,null,40,-12.035010900876314
3,100,100,334,forward,null,42,-2.71076695419702
3,100,100,334,forward,wbc,3,4.786175389216844
3,100,100,334,forward,null,16,-10.100697973677454
3,100,100,334,forward,null,12,4.711925232442452
3,100,100,334,forward,null,9,-3.600331798656606
3,100,100,334,forward,null,27,8.44338788372332
3,100,100,334,forward,null,49,5.821443608370458
3,100,100,334,forward,wbc,8,-0.1654992085226967
3,100,100,334,forward,wai,1,-14.022075796167382
3,100,100,334,forward,null,15,-1.4907824239941705
3,100,100,334,forward,null,5,-2.3787413205235572
3,100,100,334,forward,wai,8,2.282427809111115
3,100,100,334,forward,null,19,6.499618048791343
3,100,100,334,forward,wbc,10,-5.970935170558623
3,100,100,334,forward,wbc,9,7.002455660306126
3,100,100,334,forward,wai,2,-2.6737723620975347
3,100,100,334,forward,null,8,-13.118146579379726
3,100,100,334,forward,null,60,11.812448616341896
3,100,100,334,forward,null,24,3.904999554854968
3,100,100,334,forward,null,7,8.019552887317829
3,100,100,334,forward,null,53,-3.847946297190115
3,100,100,334,forward,null,59,-3.117183469031547
3,100,100,334,forward,wbc,6,-7.658844379748604
3,100,100,334,forward,null,51,8.019102966625324
3,100,100,334,forward,null,56,8.6290030966504
3,100,100,334,forward,null,41,5.727093244408331
3,100,100,334,forward,wai,12,-6.276140904244519
3,100,100,334,forward,null,25,-7.998726541057975
3,100,100,334,forward,null,28,8.5790843198983
3,100,100,334,forward,null,18,-4.652290872063437
3,100,100,334,forward,wai,10,9.031242533103336
3,100,100,334,forward,null,34,1.0161841481286835
3,100,100,334,forward,null,20,-0.5467647591484437
3,100,100,334,forward,null,55,0
3,100,100,334,lasso,strong,5,19.54547094740591
3,100,100,334,lasso,strong,2,19.576527772953884
3,100,100,334,lasso,strong,6,20.10223218662632
3,100,100,334,lasso,strong,4,18.22075990068458
3,100,100,334,lasso,strong,10,20.33841393784816
3,100,100,334,lasso,strong,11,20.03932222306352
3,100,100,334,lasso,strong,9,19.74247813997149
3,100,100,334,lasso,strong,12,16.753317211531428
3,100,100,334,lasso,strong,3,18.98864795462077
3,100,100,334,lasso,strong,1,17.792391512490628
3,100,100,334,lasso,strong,7,18.63438450149743
3,100,100,334,lasso,strong,8,20.47838262886225
3,100,100,334,lasso,null,32,0
3,100,100,334,lasso,wai,3,0
3,100,100,334,lasso,null,2,0
3,100,100,334,lasso,wbc,2,0.2568839108388963
3,100,100,334,lasso,null,31,-0.537501275538842
3,100,100,334,lasso,null,33,0
3,100,100,334,lasso,null,58,-0.2649839514853173
3,100,100,334,lasso,wbc,12,0
3,100,100,334,lasso,wai,11,0.3197967266889673
3,100,100,334,lasso,null,14,0
3,100,100,334,lasso,wbc,1,0
3,100,100,334,lasso,wbc,5,1.2445179159953594
3,100,100,334,lasso,null,44,0
3,100,100,334,lasso,wai,15,0
3,100,100,334,lasso,null,23,0
3,100,100,334,lasso,wbc,7,0
3,100,100,334,lasso,null,43,0
3,100,100,334,lasso,null,21,0
3,100,100,334,lasso,wai,13,0
3,100,100,334,lasso,null,11,0
3,100,100,334,lasso,null,3,0
3,100,100,334,lasso,null,48,0
3,100,100,334,lasso,null,46,0
3,100,100,334,lasso,null,22,0
3,100,100,334,lasso,null,45,0
3,100,100,334,lasso,wai,4,0
3,100,100,334,lasso,null,47,0
3,100,100,334,lasso,null,17,-0.1066322556812949
3,100,100,334,lasso,null,35,0
3,100,100,334,lasso,null,4,0
3,100,100,334,lasso,null,50,0
3,100,100,334,lasso,null,29,0
3,100,100,334,lasso,null,38,0
3,100,100,334,lasso,null,36,0
3,100,100,334,lasso,null,13,0
3,100,100,334,lasso,null,52,0.13096804260720257
3,100,100,334,lasso,wai,5,0
3,100,100,334,lasso,wai,6,0.1413329922568945
3,100,100,334,lasso,null,57,0
3,100,100,334,lasso,null,26,0
3,100,100,334,lasso,null,6,0
3,100,100,334,lasso,wai,9,0.05344880864980396
3,100,100,334,lasso,wai,16,0
3,100,100,334,lasso,wai,7,0
3,100,100,334,lasso,null,1,0
3,100,100,334,lasso,wbc,4,0
3,100,100,334,lasso,null,39,0
3,100,100,334,lasso,null,30,0
3,100,100,334,lasso,null,54,0
3,100,100,334,lasso,null,10,0
3,100,100,334,lasso,null,37,0
3,100,100,334,lasso,wai,14,0
3,100,100,334,lasso,wbc,11,0
3,100,100,334,lasso,null,40,0
3,100,100,334,lasso,null,42,0
3,100,100,334,lasso,wbc,3,0
3,100,100,334,lasso,null,16,0
3,100,100,334,lasso,null,12,0
3,100,100,334,lasso,null,9,0
3,100,100,334,lasso,null,27,0
3,100,100,334,lasso,null,49,0
3,100,100,334,lasso,wbc,8,0
3,100,100,334,lasso,wai,1,0
3,100,100,334,lasso,null,15,0
3,100,100,334,lasso,null,5,0
3,100,100,334,lasso,wai,8,0
3,100,100,334,lasso,null,19,0
3,100,100,334,lasso,wbc,10,0
3,100,100,334,lasso,wbc,9,0
3,100,100,334,lasso,wai,2,0
3,100,100,334,lasso,null,8,0
3,100,100,334,lasso,null,60,0
3,100,100,334,lasso,null,24,0
3,100,100,334,lasso,null,7,0
3,100,100,334,lasso,null,53,0
3,100,100,334,lasso,null,59,0
3,100,100,334,lasso,wbc,6,0
3,100,100,334,lasso,null,51,0
3,100,100,334,lasso,null,56,0
3,100,100,334,lasso,null,41,0
3,100,100,334,lasso,wai,12,0
3,100,100,334,lasso,null,25,0
3,100,100,334,lasso,null,28,0
3,100,100,334,lasso,null,18,0
3,100,100,334,lasso,wai,10,0
3,100,100,334,lasso,null,34,0
