sim_time,n,p,ratio,method,type,num,estimate
3,100,100,145,forward,null,55,-1.8793122783668845
3,100,100,145,forward,wbc,10,-9.774296949550735
3,100,100,145,forward,null,44,0.9169307968183912
3,100,100,145,forward,null,42,-7.495109231071846
3,100,100,145,forward,null,37,1.9959611960089505
3,100,100,145,forward,null,22,8.547913171757417
3,100,100,145,forward,null,33,2.1695291184388976
3,100,100,145,forward,wai,10,-3.386477868960972
3,100,100,145,forward,wai,13,3.5616229421871664
3,100,100,145,forward,null,58,1.033730436159442
3,100,100,145,forward,null,4,3.515559783103575
3,100,100,145,forward,null,5,-7.862394416521631
3,100,100,145,forward,null,13,3.985352240748822
3,100,100,145,forward,null,46,-0.12186905418175675
3,100,100,145,forward,null,17,-2.093165245536909
3,100,100,145,forward,wbc,15,-11.90726312242626
3,100,100,145,forward,wai,2,1.1805007788395558
3,100,100,145,forward,wbc,4,4.095036556628874
3,100,100,145,forward,null,15,16.826025597526595
3,100,100,145,forward,wai,18,-2.7990593914060753
3,100,100,145,forward,null,41,-1.858740451032377
3,100,100,145,forward,wai,7,11.160616240890153
3,100,100,145,forward,null,48,6.103477281735138
3,100,100,145,forward,null,59,3.0150603146737396
3,100,100,145,forward,wai,17,6.392470923200634
3,100,100,145,forward,wai,6,0.3908402443273801
3,100,100,145,forward,wai,19,-1.0053183458263344
3,100,100,145,forward,wbc,3,2.655434652073009
3,100,100,145,forward,wbc,1,3.469694889314213
3,100,100,145,forward,wai,9,2.8700353743921783
3,100,100,145,forward,wbc,6,2.6813581042418293
3,100,100,145,forward,wai,5,-11.98839624515325
3,100,100,145,forward,null,31,-7.6299892941109535
3,100,100,145,forward,null,24,-15.812188493847309
3,100,100,145,forward,wbc,5,1.7096378668919514
3,100,100,145,forward,null,32,7.727827447956962
3,100,100,145,forward,null,36,-3.479092356556889
3,100,100,145,forward,null,56,0.4360139055219431
3,100,100,145,forward,null,50,8.329157825310633
3,100,100,145,forward,null,7,3.0246595131943748
3,100,100,145,forward,null,21,6.748754364227839
3,100,100,145,forward,null,9,0.6121118593743742
3,100,100,145,forward,wbc,7,1.1937405491916535
3,100,100,145,forward,null,40,3.6856382847501683
3,100,100,145,forward,wbc,12,-3.4933787845707878
3,100,100,145,forward,null,14,7.561138639441371
3,100,100,145,forward,null,57,-3.0764288551297025
3,100,100,145,forward,null,11,-2.0931681836775566
3,100,100,145,forward,null,20,0.9675829975568178
3,100,100,145,forward,null,51,-6.347785865093503
3,100,100,145,forward,null,8,-11.056500455766665
3,100,100,145,forward,wai,14,-5.018901314144919
3,100,100,145,forward,null,2,-16.052250667181557
3,100,100,145,forward,null,43,5.231931483714821
3,100,100,145,forward,wai,12,-9.873448671354232
3,100,100,145,forward,wbc,9,5.903775785163575
3,100,100,145,forward,wai,3,-9.753481757839218
3,100,100,145,forward,null,3,-2.90201769787229
3,100,100,145,forward,wbc,16,-0.0010135361158653464
3,100,100,145,forward,null,53,-3.994486345917815
3,100,100,145,forward,null,39,7.989471729796636
3,100,100,145,forward,null,6,4.087162742907429
3,100,100,145,forward,wbc,2,1.899862942960794
3,100,100,145,forward,null,47,0.47657524540742896
3,100,100,145,forward,null,1,4.596734991601966
3,100,100,145,forward,null,35,13.081021460519628
3,100,100,145,forward,null,29,-6.766573163235284
3,100,100,145,forward,wai,8,1.6641006136138847
3,100,100,145,forward,null,18,2.8938246220013264
3,100,100,145,forward,null,12,-6.400286161703122
3,100,100,145,forward,wai,11,-7.5014822366651
3,100,100,145,forward,null,49,2.662904323718804
3,100,100,145,forward,wai,4,-3.296415465604191
3,100,100,145,forward,null,28,1.3467112452399441
3,100,100,145,forward,null,16,1.6724604121526696
3,100,100,145,forward,null,19,0
3,100,100,145,lasso,strong,4,18.27579749457499
3,100,100,145,lasso,strong,3,18.866941482649704
3,100,100,145,lasso,strong,2,17.535994498112995
3,100,100,145,lasso,strong,1,16.166858159064994
3,100,100,145,lasso,wbc,13,0
3,100,100,145,lasso,null,26,0
3,100,100,145,lasso,wai,16,0.3034116855800802
3,100,100,145,lasso,wai,15,0
3,100,100,145,lasso,null,54,0
3,100,100,145,lasso,null,25,0
3,100,100,145,lasso,null,52,0
3,100,100,145,lasso,null,27,0.15733197619224001
3,100,100,145,lasso,null,30,0
3,100,100,145,lasso,null,60,0
3,100,100,145,lasso,wbc,14,0
3,100,100,145,lasso,wai,20,0
3,100,100,145,lasso,null,10,0
3,100,100,145,lasso,null,38,0
3,100,100,145,lasso,wbc,8,0
3,100,100,145,lasso,wbc,11,0
3,100,100,145,lasso,null,34,0
3,100,100,145,lasso,null,23,0
3,100,100,145,lasso,wai,1,0
3,100,100,145,lasso,null,45,0.17160428407596176
3,100,100,145,lasso,null,55,0
3,100,100,145,lasso,wbc,10,0
3,100,100,145,lasso,null,44,0
3,100,100,145,lasso,null,42,0
3,100,100,145,lasso,null,37,0
3,100,100,145,lasso,null,22,0
3,100,100,145,lasso,null,33,0
3,100,100,145,lasso,wai,10,0
3,100,100,145,lasso,wai,13,0
3,100,100,145,lasso,null,58,0
3,100,100,145,lasso,null,4,0
3,100,100,145,lasso,null,5,0
3,100,100,145,lasso,null,13,0
3,100,100,145,lasso,null,46,0
3,100,100,145,lasso,null,17,0
3,100,100,145,lasso,wbc,15,0
3,100,100,145,lasso,wai,2,0
3,100,100,145,lasso,wbc,4,0
3,100,100,145,lasso,null,15,0
3,100,100,145,lasso,wai,18,0
3,100,100,145,lasso,null,41,0
3,100,100,145,lasso,wai,7,0
3,100,100,145,lasso,null,48,0
3,100,100,145,lasso,null,59,0
3,100,100,145,lasso,wai,17,0
3,100,100,145,lasso,wai,6,0
3,100,100,145,lasso,wai,19,0
3,100,100,145,lasso,wbc,3,0
3,100,100,145,lasso,wbc,1,0
3,100,100,145,lasso,wai,9,0
3,100,100,145,lasso,wbc,6,0
3,100,100,145,lasso,wai,5,0
3,100,100,145,lasso,null,31,0
3,100,100,145,lasso,null,24,0
3,100,100,145,lasso,wbc,5,0
3,100,100,145,lasso,null,32,0
3,100,100,145,lasso,null,36,0
3,100,100,145,lasso,null,56,0
3,100,100,145,lasso,null,50,0
3,100,100,145,lasso,null,7,0
3,100,100,145,lasso,null,21,0
3,100,100,145,lasso,null,9,0
3,100,100,145,lasso,wbc,7,0
